,_id,dn,groupid,member,uid
2217,5a58d82d8a714b91a77137e9,"cn=G_ZCM_RAPPORT-POLE-WEB,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-POLE-WEB,"cn=LS6DSI,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",LS6DSI
2218,5a58d82d8a714b91a77137ec,"cn=G_ZCM_RAPPORT-SYS-MEDIA,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-SYS-MEDIA,"cn=GALT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",GALT
2219,5a58d82d8a714b91a77137ef,"cn=G_ZCM_RAPPORT-SYS-MEDIA,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-SYS-MEDIA,"cn=JPGY,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",JPGY
2220,5a58d82d8a714b91a77137f2,"cn=G_ZCM_RAPPORT-SYS-MEDIA,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-SYS-MEDIA,"cn=GVCT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",GVCT
2221,5a58d82d8a714b91a77137f5,"cn=G_ZCM_RAPPORT-SYS-MEDIA,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-SYS-MEDIA,"cn=APPLE1,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",APPLE1
2222,5a58d82d8a714b91a77137f8,"cn=G_ZCM_RAPPORT-SYS-MEDIA,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-SYS-MEDIA,"cn=APPLE2,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",APPLE2
2223,5a58d82d8a714b91a77137fb,"cn=G_ZCM_RAPPORT-SYS-MEDIA,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-SYS-MEDIA,"cn=APPLE3,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",APPLE3
2224,5a58d82d8a714b91a77137fe,"cn=G_ZCM_RAPPORT-SYS-HOLDING,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-SYS-HOLDING,"cn=FLHR,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",FLHR
2225,5a58d82d8a714b91a7713801,"cn=G_ZCM_RAPPORT-SYS-HOLDING,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-SYS-HOLDING,"cn=SSEA,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",SSEA
2226,5a58d82d8a714b91a7713804,"cn=G_ZCM_RAPPORT-SYS-HOLDING,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-SYS-HOLDING,"cn=LS1DSI,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",LS1DSI
2227,5a58d82d8a714b91a7713807,"cn=G_ZCM_RAPPORT-PROXIMITE,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-PROXIMITE,"cn=JPVS,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",JPVS
2228,5a58d82d8a714b91a771380a,"cn=G_ZCM_RAPPORT-PROXIMITE,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-PROXIMITE,"cn=LSTECDSI2,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",LSTECDSI2
2229,5a58d82d8a714b91a771380d,"cn=G_ZCM_RAPPORT-PROXIMITE,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-PROXIMITE,"cn=JLST,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",JLST
2230,5a58d82d8a714b91a7713810,"cn=G_ZCM_RAPPORT-PROXIMITE,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-PROXIMITE,"cn=OMCL,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",OMCL
2231,5a58d82d8a714b91a7713813,"cn=G_ZCM_RAPPORT-PROXIMITE,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-PROXIMITE,"cn=YRBN,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",YRBN
2232,5a58d82d8a714b91a7713816,"cn=G_ZCM_RAPPORT-RESEAU,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-RESEAU,"cn=FLRU,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",FLRU
2233,5a58d82d8a714b91a7713819,"cn=G_ZCM_RAPPORT-RESEAU,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-RESEAU,"cn=LSRESDSI,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",LSRESDSI
2234,5a58d82d8a714b91a771381c,"cn=G_ZCM_RAPPORT-INFOGERANCE,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-INFOGERANCE,"cn=ACFO,ou=INFOGERANCE,ou=PTX,o=GB1",ACFO
